num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var
76,8029.6726031303,0,-0.9971193882,2.0166172474,3.2303242752,-1.1389852695
77,8247.1065671444,0,-0.9971193882,2.0166172474,3.2303242752,-1.1389852695
78,8467.7911319733,0,-0.9971193882,2.0166172474,3.2303242752,-1.1389852695
79,8691.3036568165,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
80,8917.7809679508,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
81,9147.5077939034,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
82,9380.2005307674,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
83,9616.1469438076,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
84,9855.0759809017,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
85,10097.2618041039,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
86,10342.2801868916,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
87,10590.2710390091,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
88,10841.5067210197,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
89,11095.7050321102,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
90,11353.1512272358,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
91,11613.5877761841,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
92,11877.0005342960,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
93,12143.6663281918,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
94,12412.9224972725,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
95,12685.4884922504,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
96,12961.0246953964,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
97,13239.8127672672,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
98,13521.4305484295,0,-0.9971193882,2.0366528928,3.2303242752,-1.4457291629
99,13806.0202684402,0,-0.9971193882,2.0366528928,3.2303242752,-1.4457291629
100,14093.7258784771,0,-0.9971193882,2.0366528928,3.2303242752,-1.4137895584
