num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var,predictive_likelihood
40,0.2551720142364502,0,-1.02002,2.02564,-1.37818,3.1943200000000003,-1229.5167770972353
40,0.15611600875854492,0,-0.993947,2.0356,3.05986,-1.3229,-1232.1565585283665
40,0.14634990692138672,0,-1.01529,1.9637,3.38363,-1.55379,-1226.6044311336286
40,0.06668615341186522,0,-1.0114,2.03856,-0.5377770000000001,3.3332,-1253.8574104646823
40,0.14226698875427246,0,-1.03689,1.94961,-1.39848,3.5167300000000004,-1232.5284070266277
40,0.17818307876586914,0,-1.0261,1.97284,-1.33693,3.32542,-1228.3429327746696
40,0.18545079231262207,0,-1.01608,1.93593,3.20407,-1.1131799999999998,-1232.3073949521824
40,0.18080711364746094,0,-1.0103799999999998,1.97608,-1.3284200000000002,3.42715,-1226.0635395143643
40,0.143873929977417,0,-1.01163,1.96085,3.31759,-1.40193,-1225.7111549783153
40,0.14522695541381836,0,-1.013,1.98339,-1.2457200000000002,3.39874,-1227.1782144723572
40,0.10545110702514647,0,-1.01527,2.00421,3.2964,-1.57658,-1227.0720985996259
40,0.15183401107788086,0,-1.0098200000000002,2.0064900000000003,3.35863,-1.36766,-1225.7473503615902
40,0.16634392738342285,0,-1.00507,2.01606,-1.3066799999999998,3.52925,-1227.5556870464754
40,0.15763401985168454,0,-1.01888,2.00753,-1.47544,3.3683300000000003,-1226.992685877777
50,0.2668590545654297,0,-1.00252,1.98414,3.24408,-1.3343,-1225.952232251305
50,0.29408693313598633,0,-1.03808,2.01945,-1.33217,3.25391,-1232.673450550591
50,0.2536098957061768,0,-1.01623,1.97986,-1.36627,3.40228,-1226.41515040146
50,0.2646489143371582,0,-1.02679,2.04611,3.3768800000000003,-1.38287,-1230.129574208247
50,0.2231149673461914,0,-1.02403,2.01221,3.27182,-1.22531,-1230.0778916103602
50,0.2503061294555664,0,-1.01816,2.0300700000000003,-1.19997,3.31051,-1229.7032589039015
50,0.14790105819702148,0,-0.981493,2.0867,3.5628900000000003,-1.33538,-1231.3423707216848
50,0.21466898918151853,0,-1.00878,2.05494,-1.26643,3.22505,-1229.7206364431645
50,0.24914312362670896,0,-1.01613,1.97442,-1.30397,3.19618,-1228.5598247968392
50,0.3002228736877441,0,-1.01555,2.03978,3.40496,-1.29362,-1228.324946193255
50,0.18872809410095212,0,-1.00373,1.94368,3.38111,-1.53461,-1225.4350877643808
50,0.2525331974029541,0,-1.01432,1.98695,3.35511,-1.3009,-1226.606185563675
50,0.1876370906829834,0,-1.02599,1.99464,3.35246,-1.3208,-1228.4920827632448
50,0.27316713333129883,0,-1.00411,1.94363,3.2585,-1.34628,-1226.2056188635213
50,0.2792220115661621,0,-1.00974,1.95232,-1.25522,3.29955,-1227.1216736494123
50,0.10272789001464844,0,-1.04616,1.89614,-0.4637979999999999,4.68369,-1324.0857472895943
50,0.22587013244628906,0,-1.02008,1.9511,3.1832,-1.34517,-1229.2924669635956
50,0.1965157985687256,0,-0.994741,1.89355,-1.22882,3.3526800000000003,-1228.8614381676796
50,0.26286911964416504,0,-1.03586,2.0234,-1.5381,3.4294300000000004,-1232.6870666221546
50,0.2326900959014893,0,-1.01512,1.98799,3.21107,-1.3564200000000002,-1227.6512182555084
60,0.24361205101013186,0,-1.03886,2.01601,-1.38364,3.20859,-1233.3658491144993
60,0.3797118663787842,0,-1.0196,1.97638,3.20502,-1.03557,-1234.3062653495688
60,0.29828596115112305,0,-0.99998,1.98507,3.22427,-1.15767,-1229.0916439971909
60,0.2566189765930176,0,-1.0022,2.04173,3.37877,-1.48695,-1226.1058593139624
60,0.3277280330657959,0,-1.01516,1.94661,3.31143,-1.46748,-1226.4508520836857
60,0.3587729930877685,0,-1.0122799999999998,1.94159,3.04073,-1.39812,-1232.8244503625217
60,0.33142805099487305,0,-0.985713,2.00068,3.41135,-1.26742,-1225.9240147826897
60,0.23305892944335935,0,-1.01286,1.9424,-1.34942,3.36734,-1226.4321214768488
60,0.3653900623321533,0,-1.00947,2.0798400000000004,-1.05775,3.25848,-1234.8438597696131
60,0.25208306312561035,0,-1.00847,2.01311,3.42002,-1.15381,-1228.8497508558933
